"# of Use","# Terpakai"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","% Barang"
"(Copy data from: %s)","(Menyalin data dari: %s)"
"(Will make search for the query above return results for this search.)","(Akan menggunakan hasil pencarian terhadap query diatas untuk pencarian berikut.)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Silahkan Pilih --"
"A name is required","Sebuah nama diperlukan"
"Action","Aksi"
"Add Attribute","Tambah Atribut"
"Add Design Change","Tambah Perubahan Desain"
"Add Group","Tambah Kelompok"
"Add Items to Cart","Tambah Barang ke Keranjang Belanja"
"Add New","Tambah"
"Add New Attribute","Tambah Atribut Baru"
"Add New Attribute Set","Tambah Set Atribut Baru"
"Add New Group","Tambah Grup Baru"
"Add New Images","Tambah Gambar Baru"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Tambah Istilah Pencarian Baru"
"Add New Set","Tambah Set Baru"
"Add Option","Tambah Pilihan"
"Add Product","Tambah Produk"
"Add Product To Websites","Add Product To Websites"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Tambah Deretan"
"Add to Cart","Tambah ke Keranjang Belanja"
"Add to Compare","Tambah ke Perbandingan"
"Add to My Wishlist","Tambah ke Daftar Keinginan Saya"
"Add to Wishlist","Tambah ke Daftar Keinginan"
"Additional Information","Informasi Tambahan"
"All","Semua"
"ALL GROUPS","SEMUA KELOMPOK"
"All Product Types","Semua Tipe Produk"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"AM","AM"
"Amount","Amount"
"and","dan"
"and above","dan atas"
"Apply To","Terapkan ke"
"Apply To Configurable/Grouped Product","Terapkan ke Kelompok Produk atau Produk yang dapat di Konfigurasi"
"Approved","Disetujui"
"Are you sure you want to delete this category?","Apakah anda yakin ingin menghapus kategori ini?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Are you sure?","Apakah anda yakin?"
"As low as:","Semurah:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Produk Sejenis"
"Attrib. Set Name","Nama Set Atribut"
"Attribute Code","Kode Atribut"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute Information","Informasi Atribut"
"Attribute Label","Label Atribut"
"Attribute Model","Model Atribut"
"Attribute model not defined","Model atribut tidak terdefinisi"
"Attribute Name:","Nama Atribut:"
"Attribute Properties","Properti Atribut"
"Attribute Set","Kumpulan Atribut"
"Attribute with the same code already exists","Atribut dengan kode yang sama sudah ada"
"Attributes","Atribut"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Digenerate Otomatis"
"Availability","Availability"
"Availability: In stock.","Ketersediaan: Ada."
"Availability: Out of stock.","Ketersediaan: Tidak ada."
"Back","Kembali"
"Backend Model","Model Backend"
"Backend Table","Tabel Backend"
"Backend Table Title","Judul Tabel Backend"
"Backorders","Pemesanan"
"Base directory to upload image file is not specified","Basis folder untuk mengupload gambar tidak dispesifikkan"
"Based On","Berdasakan"
"Best Value","Produk yang Dianjurkan"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Bawah/Kiri"
"Bottom/Right","Bawah/Kanan"
"Browse By","Telusuri Berdasarkan"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"cache refresh needed","cache refresh needed"
"Can be used only with catalog input type Dropdown","Hanya bisa digunakan untuk tipe masukan katalog berupa Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Hanya bisa digunakan untuk tipe masukan katalog berupa Dropdown, Multiple Select dan Harga"
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Can't create image.","Can't create image."
"Cart Item Attribute","Atribut barang Keranjang Belanja"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Tipe Masukan Katalog untuk Pemilik Toko"
"Catalog Price Scope","Cakupan Harga Katalog"
"Catalog Section","Catalog Section"
"Catalog, Search","Katalog, Pencarian"
"Categories","Kategori"
"categories","categories"
"Categories Sitemap","Categories Sitemap"
"Category","Kategoru"
"Category API","Category API"
"Category attributes API","Category attributes API"
"Category Data","Data Kategori"
"Category delete error","Kesalahan dalam penghapusan Kategori"
"Category deleted","Kategori sudah dihapus"
"Category move error","Kesalahan dalam pemindahan Kategori"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category Navigation:","Navigasi Kategori:"
"Category Products","Produk Kategori"
"Category saved","Kategori Tersimpan"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Change","Ubah"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Ubah status"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Pilih sebuah pilihan..."
"Choose option...","Pilih pilihan.."
"Clear All","Clear All"
"Clear All Items","Bersihkan Semua Barang"
"Close Window","Tutup Jendela"
"Collapse All","Collapse All"
"comma separated","comma separated"
"Comparable","Dapat dibandingkan"
"Comparable on Front-end","Dapat dibandingkan di halaman depan"
"Compare Items","Bandingkan Barang"
"Compare list successfully cleared","Daftar perbandingan telah dibersihkan"
"Compare Products","Bandingkan Produk"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Bandingkan Produk - %s barang"
"Compare Products List","Daftar Perbandingan Produk"
"Conditions Combination","Kombinasi Kondisi"
"Configurable Product","Produk yang dapat dikonfigurasi"
"Configurable Product Settings","Pengaturan Produk yang dapat dikonfigurasi"
"Continue","Lanjutkan"
"Copy From Configurable","Salin dari yang dapat dikonfiguraskan"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Buat"
"Create new category","Create new category"
"Create new product","Create new product"
"Create Product Settings","Buat Pengaturan Produk"
"Create Simple Associated Product","Buat Asosiasi Produk Sederhana"
"Cross-sells","Penjualan Silang"
"Currently Shopping by","Sedang Belanja berdasarkan"
"Custom Design","Desain Pilihan"
"Custom Options","Custom Options"
"Customer Group","Kelompok Pelanggan"
"Customers for alert %s was successfuly added to queue","Pelanggan untuk peringatan %s berhasil diTambah ke antrian"
"Customers Reviews","Review Pelanggan"
"Customers Tagged Product","Produk hasil Tag Pelanggan"
"Data Type for Saving in Database","Tipe Data untuk disimpan di Database"
"Date","Tanggal"
"Date & Time Custom Options","Date & Time Custom Options"
"Date fields order","Date fields order"
"Date Subscribed","Tanggal Pendaftaran"
"Datetime","Tanggal waktu"
"Decimal","Desimal"
"Decimal Number","Angka Desimal"
"Declare attribute value saving scope","Deklarasikan cakupan atribut harga hemat"
"Default price","Patokan Harga"
"Default Qty","Patokan Kuantitas"
"Default value","Patukan Nilai"
"Default Values","Patokan Nilai"
"Delete","Hapus"
"Delete Attribute","Hapus Atribut"
"Delete Attribute Set","Hapus Set Atribut"
"Delete Category","Hapus Kategori"
"Delete category","Delete category"
"Delete Option","Hapus Pilihan"
"Delete product","Delete product"
"Delete Row","Delete Row"
"Delete Search","Hapus Pencarian"
"Delete Selected Group","Hapus Kelompok Terpilih"
"Depends on design theme","Depends on design theme"
"Design","Desain"
"Disabled","Tidak Aktif"
"Display in Suggested Terms","Tampilkan Istilah yang Disarankan"
"Double click on a group to rename it","Klik dua kali pada kelompok untuk menamakan ulang"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","Dropdown"
"Duplicate","Duplikasi"
"Duplicate website tier price customer group and quantity.","Duplikasi harga deretan  website kelompok dan kuantitas pelanggan."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"each","each"
"Edit","Ubah"
"Edit Attribute Set '%s'","Ubah Set Atribut '%s'"
"Edit Product Attribute","Ubah Atribut Produk"
"Edit Product Attribute ""%s""","Ubah Atribut Produk""%s"""
"Edit Search","Ubah Pencarian"
"Edit Search '%s'","Ubah Pencarian '%s'"
"Email","Email"
"Email to a Friend","Kirim email ke teman"
"Empty","Kosong"
"Enabled","Aktif"
"Error during retrieval of option value: %s","Terjadi kesalahan saat penerimaan nilai pilihan: %s"
"Error while adding customers for %s alert. Message: %s","Terjadi kesalahan saat menambahkan pelanggan untuk peringatan %s . Pesan: %s"
"Error while saving this group. Group with the same name already exists.","Terjadi kesalahan saat penyimpanan kelompok ini. Kelompok dengan nama yang sama sudah ada."
