"Actions","Aksi"
"Add Answer","Tambah Jawaban"
"Add New Answer","Tambah Jawaban Baru"
"Add New Poll","Tambah Poll Baru"
"Answer Title","Judul Jawaban"
"Answer Title:","Judul Jawaban:"
"Answer was successfully saved","Jawaban telah berhasil disimpan"
"Answer with the same title in this poll","Jawaban dengan judul yang saa sudah ada di poll"
"Are you sure you want to delete it?","Apakah anda yakin menghapus?"
"Assigned Answers","Jawaban yang Diberikan"
"Closed","Ditutup"
"Community Poll","Poll Komunitas"
"Date Closed","Tanggal Ditutup"
"Date Posted","Tanggal Dipost"
"Delete","Hapus"
"Delete Answer","Hapus Jawaban"
"Delete Poll","Hapus Poll"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Ubah Jawaban '%s'"
"Edit Poll '%s'","Ubah Poll '%s'"
"Edit Poll Answer","Ubah Jawaban Poll"
"ID","ID"
"Invalid Answer","Ajavaban Tidak Valid"
"New Poll","Poll Baru"
"Number of Responses","Banyak Respon"
"Open","Teruka"
"Poll Answers","Jawaban Poll"
"Poll Information","Infromasi Poll"
"Poll information","Informasi poll"
"Poll Manager","Pengatur Poll"
"Poll not exists","Poll tidak ada"
"Poll Question","Pertanyaan Poll"
"Poll with the same question","oll dengan jawaban yang sama"
"Save Answer","Simpa Jawaban"
"Save Poll","Simpan Poll"
"Status","Status"
"Unable to find answer to delete.","Tidak dapat menemukan jawaban utnuk dihapus"
"Visible In","Nampak Di"
"Vote","Voting"
"Votes Count","Perhitungan Suara"
"Votes Count:","Perhitungan Suara:"
