"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s berhasil ditambahkan kedalam daftar keinginan Anda. Klik <a href=""%2$s"">disini</a> untuk melanjutkan belanja"
"%s's Wishlist","Daftar Keinginan %s"
"* Required Fields","* Field Dibutuhkan"
"Add All to Cart","Tambahkan Semua ke Keranjang"
"Add to Cart","Tambahkan ke Keranjang"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Added On","Ditambahkan Pada"
"Are you sure you want to remove this product from your wishlist?","Apakah Anda yakin untuk membuang produk ini dari daftar keinginan Anda?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Are You sure?","Apakah Anda yakin?"
"Back","Kembali"
"Cannot create wishlist","Tidak dapat membuat daftar keinginan"
"Cannot specify product","Tidak dapat menspesifikasikan produk"
"Can't save description %s","Tidak dapat menyimpan deskripsi %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Centang pada checkbox ini jika Anda mau menambahkan link ke ke rss feed dari daftar keinginan."
"Comment","Komentar"
"Email address can't be empty.","Alamat email anda tidak boleh kosong."
"Email addresses, separated by commas","Alamat emai, dipisahkan oleh koma"
"Email Sender","Email Pengirim"
"Email Template","Template Email"
"Enabled","Aktif"
"General Options","Opsi Umum"
"Go to Wishlist","Ke Daftar Keinginan"
"Last Added Items","Barang Terakhir Ditambahkan"
"Message","Pesan"
"My Wishlist","Daftar Kenginan Saya"
"My Wishlist (%d item)","Daftar Keinginan Saya (%d barang)"
"My Wishlist (%d items)","Daftar Keinginan Saya (%d barang)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Harap masukkan alamat email dengan benar, dipisahkan dengan koma. Contoh johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Harap, masukkan komentar Anda..."
"Product","Produk"
"Remove Item","Barang dibuang"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link ke daftar keingingan %s"
"Share options","Opsi Bersama"
"Share Wishlist","Daftar Keinginan Bersama"
"Share Your Wishlist","Bagikan Daftar Keinginan Anda"
"Sharing Information","Informasi Bersama"
"There was an error while adding item to wishlist.","Ada kesalahan pada saat menambahkan barang ke daftar keinginan."
"There was an error while adding item to wishlist: %s","Ada kesalahan pada saat menambahkan barang ke daftar keinginan: %s"
"There was an error while deleting item from wishlist.","Ada kesalahan pada saat menghapus barang ke daftar keinginan."
"There was an error while deleting item from wishlist: %s","Ada kesalahan pada saat menghapus barang ke daftar keinginan: %s"
"This product(s) is currently out of stock:","Produk ini sementara tidak tersedia:"
"Update Wishlist","Perbaharui Daftar Keinginan"
"View Product","Tampilkan Produk"
"Wishlist","Daftar Keinginan"
"Wishlist is empty now.","Daftar keinginan kosong untuk saat ini."
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Berbagi Daftar Keinginan"
"You have no items in your wishlist.","Anda tidak memiliki barang pada daftar keinginan Anda."
"You input not valid email address.","Anda memasukkan alamat email yang tidak valid."
"Your Wishlist was successfully shared","Daftar Keinginan Anda berhasil dibagi"
